14 5597 50 10 2514 184.985 -63.5932 448.837 154.996 116.262 176.602 115 107 175 5.26894 4.3833 4.69558 0.226482 2.1033 1.63588 1.63588 6105.16 56697.6 44097.6 0.751108 3.21433 2.63776 1.04925 5.89004 4.24515 0.452964 1.43351 1.58932 2 11 4
18 5694 8 0 450 130.557 -96.7027 186.68 193.076 97.0342 185.425 114 98 151 6.30442 5.44769 6.54829 2.67179 0.359582 3.58838 3.58838 72022.3 9693.07 96730.3 2.42044 0.386703 2.72627 3.28456 0.612042 3.69312 0.775177 0.215607 1.11116 7 4 8
54 5361 5 0 297 99.9697 109.792 221.546 66.9168 207.139 135.022 59 119 213 4.83955 6.44514 4.1686 1.769 0.32112 1.48764 1.48764 47686.1 8656.27 40101.7 2.87937 0.453131 1.38016 5.30412 0.642239 1.68731 1.15142 0.264023 1.00681 4 2 9
164 5419 105 2 5259 138.603 -6.99757 655.168 149.121 176.692 86.7539 140 155 73 4.41527 4.56873 4.10977 2.86161 0.189035 1.75683 1.75683 77139.2 5095.72 47358.1 3.28187 0.189035 2.18761 8.41078 0.189035 2.79415 1.05796 0.189035 1.60029 12 1 8
178 5581 15 1 785 147.987 109.638 622.485 177.34 126.598 190.796 123 94 132 5.26732 4.67017 4.90614 2.81507 0.578153 3.6188 3.6188 75884.5 15585 97550.2 2.51618 1.32574 3.33358 3.09569 3.10243 3.89783 1.13717 0.296653 1.00229 5 3 8
192 5501 11 0 558 226.423 103.491 318.773 149.772 138.113 197.019 146 88 250 4.81101 5.2908 4.3469 2.8554 0.23586 1.20736 1.20736 76971.6 6357.96 32546.2 3.52131 0.147259 1.25485 5.20647 0.23586 1.37646 2.50206 0.0173998 1.08148 3 13 12
195 5328 12 0 630 90.5626 27.4762 319.627 138.55 162.462 191.031 48 102 86 5.59087 3.50046 4.11926 0.115933 1.1361 0.699479 0.699479 3125.15 30625.2 18855.5 0.115933 1.1361 0.699479 0.115933 1.1361 0.699479 0.115933 1.1361 0.699479 1 1 1
225 5506 3 2 163 148.934 -44.2773 633.837 173.069 208.069 167.533 123 199 140 5.56193 4.3933 4.73239 0.908268 1.07462 4.94028 4.94028 24483.8 28967.9 133173 0.453712 2.19023 3.16018 0.908268 2.23122 5.51346 0.214465 2.14923 1.31326 3 2 10
251 5384 186 1 9330 114.307 10.6863 425.023 137.604 155.739 184.767 120 192 176 4.95666 3.89141 4.22538 0.289415 3.46092 3.80986 3.80986 7801.62 93294.4 102701 0.289415 2.89831 3.07061 0.289415 4.58639 4.62958 0.289415 0.630567 1.34867 1 11 11
318 5191 97 10 4891 232.296 30.0037 224.53 180.361 125.628 134.873 87 91 62 4.34906 3.5802 3.62499 0.326146 7.23214 10.5099 10.5099 8791.77 194953 283310 0.80335 3.02168 8.11561 0.954407 7.23214 11.3831 0.652293 0.624275 2.236 2 3 4
